Ward_id_2010,Diabetes_2010,Ward_id_2011,Diabetes_2011,Ward_id_2012,Diabetes_2012,Ward_id_2013,Diabetes_2013,Ward_id_2014,Diabetes_2014,Ward_id_2015,Diabetes_2015,Ward_id_2016,Diabetes_2016,Ward_id_2017,Diabetes_2017,Ward_id_2018,Diabetes_2018,Ward_id_2019,Diabetes_2019
177,21.77693629,177,70.24004417,460,20.3045268,460,18.7407412,460,17.88756763,460,17.49652829,460,12.74786192,460,16.61862301,460,14.03135528,460,14.83834025
460,17.33897262,460,14.49761451,258,12.71989893,258,11.81761461,258,11.64605429,258,10.59143374,258,11.55606688,258,10.81668147,258,10.2221079,462,14.5576287
258,10.36688321,258,11.67809279,166,7.006216822,166,6.145416462,113,6.636423625,113,7.134412592,177,5.872587157,462,6.874795642,462,10.21291276,258,10.27904906
462,8.092782615,462,10.75797803,65,5.840343335,65,5.749713664,177,6.014079774,175,6.388675019,74,5.800565705,74,6.083788496,200,8.580950342,200,8.269924433
74,5.751844762,200,6.832644068,74,5.18290986,177,5.581455549,74,5.481971016,74,5.864661821,113,5.538171023,177,5.864836899,179,7.243251417,177,7.888406596
65,5.246245685,74,6.787877247,177,4.604195497,113,5.579652613,166,5.475929428,177,5.524971894,179,5.38527085,179,5.822842626,177,5.992567556,179,7.361488379
166,5.177816131,179,5.447213745,113,4.515577274,74,5.214040872,65,5.36553805,462,5.44071955,175,5.349485969,113,5.392869964,74,5.632799044,74,6.849892608
200,4.937908074,166,4.661831355,175,4.122939035,175,5.018277366,462,5.05155258,65,5.428114712,462,5.311145582,175,5.289944895,175,5.483007239,187,5.168173548
175,3.96450903,175,4.586293365,426,3.954555256,256,4.074036282,175,5.043668986,187,5.273818168,65,5.203503993,187,5.265558499,440,5.08870054,175,5.081956996
113,3.809548958,65,4.514652888,256,3.444063185,426,3.337071563,256,3.983981467,166,5.019881691,440,5.057248356,65,4.56694558,187,4.922525986,251,4.871408814
179,3.177188985,113,4.383028496,200,3.168630455,462,3.254681409,200,3.191107496,179,4.946993088,187,4.800779599,440,4.441844163,113,4.701383437,113,4.809791561
256,3.080867206,256,3.778635069,239,2.99458965,200,2.991823531,187,3.015056582,466,4.286470484,466,4.429696727,200,4.350194136,466,4.159669582,440,4.213362381
440,2.621294719,251,3.633576192,462,2.689854919,581,2.746972899,466,2.938782999,256,4.023779983,256,4.204239372,256,4.204347973,256,4.084993186,166,4.093567008
187,2.486389387,187,3.548201255,203,2.655918416,203,2.572728349,426,2.908172437,200,3.188900245,200,3.32997942,466,3.854523117,166,3.69424715,256,3.98092969
203,2.470515485,440,3.369844657,581,2.617306026,239,2.372939613,179,2.792517743,426,2.693284176,203,2.552601778,166,3.196169773,251,3.260530314,65,3.453379984
564,2.442255081,564,2.916873852,564,2.429997906,466,2.300455049,203,2.57027133,203,2.674586507,62,2.34968063,203,2.630222043,65,2.800722048,466,2.846401706
239,2.40556078,203,2.858797057,420,2.310079596,420,2.19472915,618,2.228064668,37,2.476421268,166,2.33175557,426,2.465342771,203,2.652839275,564,2.813862854
348,2.258104285,229,2.467667024,323,2.234235936,618,2.185187053,420,2.128825319,62,2.474341773,426,2.319122203,62,2.464351512,406,2.352261252,203,2.700972863
229,2.087628308,426,2.394571434,618,2.207402734,564,2.179919676,323,2.11601708,618,2.314164934,618,2.176379339,348,2.43505697,243,2.254828112,348,2.62735462
426,2.081322317,348,2.336667087,229,2.08752191,323,2.134092791,564,2.051721074,323,2.186891032,229,2.154998965,229,2.226983282,62,2.23313859,243,2.622641957
618,2.037295027,618,2.325266284,37,2.050483667,229,2.030417483,229,2.047437279,229,2.181625369,323,2.126886554,618,2.202430072,229,2.212256269,229,2.230477975
323,2.026053994,323,2.317535997,97,1.996664916,37,1.957133646,62,2.027820914,440,2.15926343,448,2.019294685,323,2.175699622,618,2.185746207,618,2.221581118
251,1.99905148,102,2.253550365,102,1.934200485,348,1.947119115,37,1.995607958,406,2.098696293,102,2.010755358,448,2.101848671,448,2.159164809,62,2.218708681
102,1.916610811,448,2.204895534,448,1.872912469,102,1.932085247,102,1.948672001,102,2.054869027,564,1.945141555,102,2.064839415,323,2.148644255,102,2.160392761
448,1.794436703,243,2.143663033,583,1.844396661,448,1.852515351,239,1.93727771,448,1.982373359,581,1.893031444,581,1.953763306,102,2.109534199,448,2.142796467
581,1.726525382,239,2.11592126,348,1.823256592,62,1.825385302,348,1.90637323,564,1.90586764,37,1.840779387,148,1.831222102,239,2.103101942,323,2.141128758
148,1.689661317,148,2.03332174,187,1.781433447,97,1.8061313,581,1.892074108,148,1.885062874,148,1.795919604,564,1.794388669,564,1.972025552,239,1.908739142
37,1.600379739,466,1.975134275,148,1.779064193,148,1.771046859,448,1.823177538,581,1.866233325,348,1.788803171,406,1.792022056,348,1.885433699,148,1.907243484
62,1.579199448,62,1.863590645,350,1.777336625,187,1.768224863,148,1.775533476,348,1.866088748,406,1.768790695,255,1.777789629,148,1.857636796,406,1.889693424
111,1.515610725,111,1.724948944,162,1.758180541,179,1.756101666,97,1.742743002,420,1.862267049,255,1.663320516,37,1.657525707,581,1.806424763,581,1.868153678
466,1.496352394,581,1.691346624,111,1.663818907,111,1.687181874,111,1.675088847,239,1.781275245,97,1.630025618,243,1.653794258,569,1.721015027,171,1.591943226
582,1.453045194,582,1.659719126,452,1.631333615,583,1.683872465,350,1.626935032,147,1.740401254,111,1.606894718,569,1.626218168,111,1.637232269,111,1.568399139
569,1.363069901,406,1.575454993,17,1.628242334,350,1.64989462,440,1.593303843,111,1.738521814,239,1.595912746,111,1.602744367,576,1.573629778,582,1.504368802
243,1.35992888,617,1.540741545,179,1.627589611,17,1.598426696,583,1.572262315,97,1.736956073,73,1.588982256,576,1.535961267,583,1.564203062,617,1.482816046
452,1.342127509,244,1.53386443,62,1.599818299,440,1.520242022,17,1.536596588,583,1.734573095,350,1.582542002,350,1.481278343,37,1.51590331,37,1.450079337
583,1.332082065,583,1.526135369,440,1.560312189,582,1.468302263,582,1.525120544,350,1.714434438,569,1.568760649,583,1.479135582,171,1.444658418,576,1.449975102
162,1.312721619,452,1.484994762,582,1.537714771,452,1.455475495,171,1.39648859,582,1.60934667,583,1.562949625,582,1.445308039,582,1.439834269,583,1.422090698
244,1.290422617,576,1.435854549,443,1.507559677,243,1.450019996,452,1.394673427,569,1.535568537,420,1.461117409,251,1.405030248,426,1.41148656,244,1.406858421
249,1.268296431,171,1.419105632,415,1.469861662,171,1.438027254,406,1.37101193,452,1.514705932,617,1.447247932,452,1.400279212,452,1.359968083,569,1.391722044
420,1.240817963,569,1.398544036,186,1.448710403,186,1.355535696,147,1.368929619,576,1.481614851,576,1.445068461,236,1.352821174,244,1.339852739,452,1.391160659
171,1.234712699,255,1.362079603,569,1.435020552,255,1.330747288,186,1.337012148,17,1.439519015,582,1.405057007,239,1.310973676,255,1.326194114,255,1.342927815
576,1.196648773,249,1.319768919,147,1.401497338,576,1.278934195,576,1.332855171,171,1.439295363,452,1.357570118,617,1.29662391,236,1.293318565,426,1.257325041
97,1.171551691,322,1.299878131,171,1.32631532,162,1.260564335,255,1.321020522,73,1.413145985,236,1.251953391,171,1.276448742,73,1.289585801,322,1.144161232
255,1.160616645,227,1.245010306,576,1.324248497,244,1.196657747,421,1.241589656,617,1.36698997,244,1.171809779,147,1.241712139,147,1.219864803,26,1.127633722
617,1.128047031,37,1.208887585,244,1.305553807,249,1.186807192,162,1.227171903,236,1.341619867,249,1.109190867,244,1.222491011,26,1.164345583,249,1.111003685
227,1.093817644,26,1.207604223,243,1.230852581,236,1.161481203,236,1.223315407,255,1.31690942,26,1.107106037,73,1.208851463,186,1.113452955,227,1.074856809
322,1.049814008,162,1.178857204,322,1.226276912,322,1.130364029,461,1.201786432,186,1.278281167,186,1.101416748,420,1.171962801,249,1.103444637,610,1.066788888
610,1.046182468,610,1.16509197,249,1.215010528,569,1.124107682,26,1.174260395,244,1.258790415,322,1.070945508,458,1.159938266,322,1.083635341,438,1.055262714
406,1.020215168,567,1.16240936,255,1.214606553,605,1.120880954,243,1.145017811,26,1.199277509,605,1.063557218,186,1.116280874,431,1.038998585,431,1.052524869
236,1.015531642,620,1.133251066,427,1.213349248,461,1.119437245,244,1.135245079,322,1.104241137,171,1.023671281,26,1.115476961,605,1.031589385,615,1.039091313
605,1.009861207,236,1.127394257,595,1.186738102,610,1.082935298,617,1.093758119,593,1.100247654,243,1.014383869,97,1.085377351,499,1.023264703,499,1.018161656
443,0.985548261,615,1.106206253,421,1.178544363,443,1.074779787,227,1.09125886,421,1.097610455,461,0.999618288,605,1.084218607,615,0.965279903,567,1.01730213
26,0.97874204,605,1.090351365,610,1.177613913,593,1.073152579,605,1.08752265,249,1.08482385,227,0.973050468,322,1.071022159,620,0.961420746,605,1.014563672
567,0.964765595,341,1.064592058,236,1.171570296,26,1.070899832,322,1.085520924,227,1.052858213,593,0.972912417,249,1.064216911,468,0.960789108,620,0.99695964
620,0.933861894,431,0.999838114,227,1.161939772,415,1.052501831,569,1.078831045,162,1.05022792,431,0.930244218,227,1.059368542,567,0.955750865,468,0.986932818
615,0.925579079,623,0.956822271,605,1.155239201,343,1.049866337,249,1.064880178,243,1.025309917,499,0.92688081,615,0.995345645,617,0.952223307,236,0.98420913
404,0.879349312,230,0.948473553,461,1.132214302,147,1.034866465,73,1.032162625,605,1.016166322,615,0.920786865,162,0.98626334,610,0.906499802,230,0.953730276
350,0.860618343,97,0.936366081,593,1.050936315,404,1.032302113,615,0.998683061,615,0.998540009,468,0.897134676,431,0.979108495,227,0.886260153,623,0.938793056
461,0.848579613,499,0.917364405,466,1.025209063,421,1.025905671,610,0.993681145,468,0.956580411,421,0.892792453,593,0.968417943,450,0.885856511,162,0.915696362
593,0.832264056,447,0.906456769,567,1.011604234,227,0.993706277,593,0.983337705,499,0.953649726,230,0.888809011,461,0.958847215,230,0.876279077,411,0.893801622
17,0.815911101,461,0.8949058,412,0.995049534,617,0.985083725,499,0.94202136,431,0.952555268,567,0.848462235,567,0.94919998,461,0.874204317,73,0.875921234
341,0.809125166,411,0.860386557,404,0.987521091,406,0.980690126,412,0.925485356,343,0.946765605,620,0.843905757,468,0.937639917,443,0.857068874,341,0.850095285
499,0.800064196,612,0.841894912,615,0.983938256,73,0.959282321,341,0.910455554,230,0.944985665,610,0.833843372,230,0.931100225,438,0.84350901,447,0.839872303
147,0.775855454,593,0.839714573,73,0.965967863,615,0.95161772,567,0.899072934,341,0.930192906,147,0.832335639,499,0.928792495,597,0.822348735,147,0.834456284
597,0.745626837,468,0.828690467,617,0.948032246,427,0.932997035,343,0.887385737,612,0.927241626,79,0.822256225,610,0.921967823,162,0.82012591,593,0.833003001
61,0.743337621,422,0.821007197,61,0.930531002,567,0.915993559,468,0.883914514,461,0.926611828,458,0.813150179,620,0.909609968,593,0.816821232,35,0.789859227
468,0.738629554,565,0.815755216,468,0.916583095,412,0.890933421,620,0.876034979,567,0.893353538,404,0.806768444,450,0.829009905,411,0.814303577,597,0.787421172
431,0.723798165,597,0.800015954,620,0.875801708,620,0.876425985,431,0.866050412,450,0.887528587,612,0.796737363,404,0.828156114,623,0.805801791,68,0.78449765
417,0.720314683,404,0.782365698,341,0.87437153,341,0.869970007,106,0.865136185,620,0.882964907,251,0.788909884,341,0.822878354,422,0.777607686,612,0.758744635
623,0.713873021,443,0.782237251,106,0.867344805,468,0.851923123,251,0.84851077,251,0.870423051,341,0.783444543,612,0.819848028,341,0.760636808,450,0.756752863
612,0.707436309,119,0.773088658,26,0.863583818,595,0.828871497,404,0.832343605,610,0.85816722,35,0.777160153,411,0.765391374,612,0.759296875,186,0.744628829
565,0.706174319,351,0.772549904,612,0.794458175,119,0.823848766,612,0.832161755,35,0.837257218,162,0.768186605,119,0.738950066,447,0.74628851,461,0.742184924
230,0.702146579,350,0.756829571,499,0.781793367,499,0.817917433,443,0.809498449,412,0.807995597,450,0.746972605,443,0.734228986,97,0.743663413,404,0.739132722
106,0.699037965,417,0.74599879,119,0.777707748,106,0.790787866,595,0.795553357,119,0.775244602,119,0.733368129,354,0.733274,446,0.73628404,422,0.73335368
447,0.688063565,446,0.729357508,354,0.754297806,61,0.782231256,119,0.79386116,404,0.745969381,411,0.716368761,351,0.727306449,420,0.723478066,417,0.724366242
411,0.676397143,61,0.727785305,406,0.729490763,450,0.772041546,230,0.772800381,61,0.737361121,354,0.71385956,446,0.723026661,351,0.698146096,354,0.720052228
415,0.672469227,106,0.709340214,450,0.727460033,431,0.761432755,415,0.75884664,354,0.727315062,355,0.699932402,421,0.715883607,354,0.683665111,565,0.709802494
351,0.665668711,354,0.701584977,343,0.724774066,251,0.75294895,61,0.75241112,106,0.724118331,417,0.683790721,68,0.707989728,355,0.680092704,351,0.707628264
446,0.641372325,575,0.669872548,77,0.720322625,612,0.727697442,450,0.732625896,417,0.722318686,623,0.672636397,623,0.703195662,417,0.659589865,119,0.663380931
427,0.640876236,420,0.664815868,431,0.711375401,354,0.714893316,427,0.731515687,458,0.692377162,446,0.656906444,422,0.689119063,565,0.647698673,446,0.661521382
119,0.635813939,450,0.664318638,411,0.685464493,230,0.68923141,458,0.70484783,443,0.685649128,597,0.655335319,417,0.670814158,119,0.639611295,224,0.649567744
31,0.635776489,421,0.660028108,422,0.685401425,77,0.68887949,354,0.700336259,573,0.68552264,351,0.642428573,597,0.665314613,68,0.632334435,443,0.646926523
422,0.629692171,570,0.649634956,417,0.680473574,417,0.659172533,417,0.69476293,446,0.680669422,447,0.631848594,447,0.661639505,575,0.610948298,575,0.646167574
595,0.588065009,149,0.623400346,565,0.667108548,422,0.643718469,411,0.687270122,565,0.68013497,422,0.631237998,565,0.64075462,421,0.605199729,97,0.632963517
354,0.570230724,35,0.622333242,31,0.658531569,446,0.625177657,35,0.650682144,623,0.675040402,68,0.625168592,355,0.630181018,224,0.604791475,61,0.628161132
580,0.568404421,147,0.613948807,230,0.646179451,31,0.621806147,446,0.648505433,411,0.670002226,61,0.621414952,61,0.600674292,343,0.566934408,350,0.603247449
450,0.557590586,580,0.605143322,596,0.639141189,68,0.612212389,565,0.63753325,351,0.66960599,565,0.606489561,35,0.570955865,149,0.553469241,106,0.596329428
343,0.543611105,438,0.603498448,447,0.636659157,411,0.607451881,351,0.630078299,68,0.663525834,443,0.606004314,575,0.56142987,580,0.531439482,355,0.577948033
149,0.530939815,23,0.599133179,251,0.632281947,23,0.597454101,447,0.612192775,597,0.649529459,575,0.552259778,400,0.533844537,427,0.53001594,580,0.576802298
73,0.516148502,17,0.587956514,23,0.629582507,623,0.590564857,149,0.611359406,447,0.643247225,400,0.55217951,106,0.531403958,400,0.528070246,31,0.574915339
35,0.513505797,68,0.584183872,623,0.620060092,447,0.585874885,31,0.607220647,31,0.624611219,31,0.550174553,224,0.529812148,35,0.526992016,570,0.564431009
186,0.511618716,73,0.579354764,446,0.609391844,597,0.565567776,68,0.594041594,575,0.600123421,427,0.544983171,580,0.50096842,106,0.526024041,149,0.558073754
575,0.497134863,224,0.555532273,149,0.578360028,565,0.559902197,575,0.588321926,595,0.599685645,412,0.52999354,31,0.495580928,61,0.519128238,420,0.556037744
412,0.493298675,458,0.524048602,351,0.559730568,149,0.55789711,422,0.583960667,422,0.581915444,149,0.522934092,23,0.487470785,23,0.50991039,421,0.534652107
570,0.492943976,343,0.51538801,580,0.553759758,351,0.546575058,623,0.580800755,415,0.575667916,106,0.522434973,570,0.483639013,404,0.500124844,458,0.506068886
68,0.48724238,400,0.478412844,68,0.543770705,458,0.527135241,23,0.555313517,427,0.574596196,72,0.509871411,79,0.482799939,117,0.490967494,72,0.487726302
23,0.469263686,427,0.471931905,570,0.509760786,596,0.524254827,597,0.554792339,72,0.570569689,580,0.482569219,438,0.472384305,570,0.483976885,400,0.47879047
400,0.434181619,355,0.470460188,597,0.459423756,400,0.520891266,580,0.545364502,149,0.556783152,23,0.480441494,149,0.471999008,31,0.478714183,343,0.452340006
573,0.419566377,31,0.468301806,573,0.456289469,35,0.508067675,79,0.544096584,400,0.539003649,570,0.468244237,72,0.464709494,458,0.47294697,79,0.439368382
355,0.405243335,72,0.452210973,575,0.441452288,580,0.50394953,573,0.514016312,355,0.526225379,117,0.431037078,427,0.455057242,616,0.439768968,23,0.436523734
72,0.404210852,340,0.423834413,613,0.439514582,355,0.502242281,355,0.504164858,580,0.518475175,595,0.41980137,343,0.453429858,72,0.425416529,427,0.420577253
77,0.391204243,573,0.383865883,35,0.437469509,575,0.486776594,72,0.460581966,570,0.50207661,224,0.418228835,595,0.445096195,79,0.420864496,117,0.387461272
69,0.372525226,115,0.366685385,616,0.434808742,573,0.469544039,570,0.440046777,79,0.497255171,573,0.415811678,616,0.439635799,573,0.392233666,340,0.373920467
340,0.362150867,436,0.353110601,458,0.398337224,570,0.439629931,340,0.428871156,23,0.494006607,616,0.412405044,573,0.426474681,340,0.385845134,613,0.360558722
616,0.342428557,117,0.342147599,604,0.390963412,79,0.43778759,117,0.40966696,602,0.45378528,340,0.395861835,412,0.422211162,457,0.381662582,69,0.356835418
602,0.341846767,79,0.337189765,340,0.390630355,117,0.41115701,77,0.405157622,340,0.441976893,602,0.382030376,457,0.411066995,436,0.374173131,436,0.344523402
421,0.330933847,429,0.32846053,165,0.389893833,72,0.408890648,604,0.405121881,117,0.440113548,415,0.379600166,117,0.406144302,350,0.369407632,429,0.341398921
